Night_Number,NightCount,NightTPR
92,185,24.5
93,7189,707.9
94,2186,217.7
95,668,63.3
96,244,29.7
97,1871,182.7
98,7721,791.2
99,326,44.3
100,328,37.8
101,87,12.4
102,535,60.9
103,4452,458.9
104,13993,1442.1
105,2172,234.9
106,6111,633.1
107,1421,144.8
108,2048,214.7
109,8517,905.9
110,9760,1037.1
111,21,18.2
112,171,23.2
113,112,13.3
114,489,48.4
115,203,97.5
116,3415,472.4
117,274,30.2
118,2824,316.2
119,613,63
120,16096,1780.8
121,4508,768.8
122,13287,1728.8
123,17465,1956.2
124,10336,1173.7
125,7146,816.3
126,3508,396.1
127,17514,1997.5
128,4534,864.1
129,8953,1052
130,1308,158.5
131,4576,531.4
132,11667,1354.2
133,10689,1249.4
134,7024,823.7
135,5737,676.1
136,8407,1002.9
137,2969,353.4
138,9383,1128.7
139,19011,2284.8
140,18214,2188.5
141,15650,1889.5
142,1309,161
143,3511,426.9
144,11368,1384
145,6155,750.4
146,8133,991.8
147,7777,951
148,6456,797.9
149,2652,335.1
150,3683,455.4
151,2067,253.4
152,601,173.6
153,900,123.7
154,1874,257.5
155,3240,414.4
156,1994,272.9
157,2065,253.1
158,3179,403.9
159,2561,320.1
160,1602,211.3
161,1252,165
162,1624,211.5
163,1211,340.1
